index,name,population,density,land-size,median_age,urban_pop,image_url,latitude,longitude
50,Switzerland,"8,654,622",219,"39,516",43,74 %,https://www.worldometers.info/img/flags/sz-flag.gif,46.818188,8.227512
51,Sierra Leone,"7,976,983",111,"72,180",19,43 %,https://www.worldometers.info/img/flags/sl-flag.gif,8.460555,-11.779889
52,Laos,"7,275,560",32,"230,800",24,36 %,https://www.worldometers.info/img/flags/la-flag.gif,19.85627,102.495496
53,Bulgaria,"6,948,445",64,"108,560",45,76 %,https://www.worldometers.info/img/flags/bu-flag.gif,42.733883,25.48583
54,Lebanon,"6,825,445",667,"10,230",30,78 %,https://www.worldometers.info/img/flags/le-flag.gif,33.854721,35.862285
55,Kyrgyzstan,"6,524,195",34,"191,800",26,36 %,https://www.worldometers.info/img/flags/kg-flag.gif,41.20438,74.766098
56,Turkmenistan,"6,031,200",13,"469,930",27,53 %,https://www.worldometers.info/img/flags/tx-flag.gif,38.969719,59.556278
57,Denmark,"5,792,202",137,"42,430",42,88 %,https://www.worldometers.info/img/flags/da-flag.gif,56.26392,9.501785
58,Congo,"5,518,087",16,"341,500",19,70 %,https://www.worldometers.info/img/flags/cg-flag.gif,,
59,Norway,"5,421,241",15,"365,268",40,83 %,https://www.worldometers.info/img/flags/no-flag.gif,60.472024,8.468946
60,State of Palestine,"5,101,414",847,"6,020",21,80 %,https://www.worldometers.info/img/flags/palestine-flag.gif,,
61,Liberia,"5,057,681",53,"96,320",19,53 %,https://www.worldometers.info/img/flags/li-flag.gif,6.428055,-9.429499
62,Central African Republic,"4,829,767",8,"622,980",18,43 %,,6.611111,20.939444
63,Mauritania,"4,649,658",5,"1,030,700",20,57 %,https://www.worldometers.info/img/flags/mr-flag.gif,21.00789,-10.940835
64,Kuwait,"4,270,571",240,"17,820",37,N.A.,https://www.worldometers.info/img/flags/ku-flag.gif,29.31166,47.481766
65,Moldova,"4,033,963",123,"32,850",38,43 %,https://www.worldometers.info/img/flags/md-flag.gif,47.411631,28.369885
66,Eritrea,"3,546,421",35,"101,000",19,63 %,https://www.worldometers.info/img/flags/er-flag.gif,15.179384,39.782334
67,Bosnia and Herzegovina,"3,280,819",64,"51,000",43,52 %,https://www.worldometers.info/img/flags/bk-flag.gif,43.915886,17.679076
68,Armenia,"2,963,243",104,"28,470",35,63 %,https://www.worldometers.info/img/flags/am-flag.gif,40.069099,45.038189
69,Qatar,"2,881,053",248,"11,610",32,96 %,https://www.worldometers.info/img/flags/qa-flag.gif,25.354826,51.183884
70,Puerto Rico,"2,860,853",323,"8,870",44,N.A.,,18.220833,-66.590149
71,Namibia,"2,540,905",3,"823,290",22,55 %,https://www.worldometers.info/img/flags/wa-flag.gif,-22.95764,18.49041
72,Botswana,"2,351,627",4,"566,730",24,73 %,https://www.worldometers.info/img/flags/bc-flag.gif,-22.328474,24.684866
73,Lesotho,"2,142,249",71,"30,360",24,31 %,https://www.worldometers.info/img/flags/lt-flag.gif,-29.609988,28.233608
74,Slovenia,"2,078,938",103,"20,140",45,55 %,https://www.worldometers.info/img/flags/si-flag.gif,46.151241,14.995463
75,Latvia,"1,886,198",30,"62,200",44,69 %,https://www.worldometers.info/img/flags/lg-flag.gif,56.879635,24.603189
76,Equatorial Guinea,"1,402,985",50,"28,050",22,73 %,https://www.worldometers.info/img/flags/ek-flag.gif,1.650801,10.267895
77,Estonia,"1,326,535",31,"42,390",42,68 %,https://www.worldometers.info/img/flags/en-flag.gif,58.595272,25.013607
78,Mauritius,"1,271,768",626,"2,030",37,41 %,https://www.worldometers.info/img/flags/mp-flag.gif,-20.348404,57.552152
79,Eswatini,"1,160,164",67,"17,200",21,30 %,https://www.worldometers.info/img/flags/wz-flag.gif,,
80,Fiji,"896,445",49,"18,270",28,59 %,https://www.worldometers.info/img/flags/fj-flag.gif,-16.578193,179.414413
81,Comoros,"869,601",467,"1,861",20,29 %,https://www.worldometers.info/img/flags/cn-flag.gif,-11.875001,43.872219
82,Bhutan,"771,608",20,"38,117",28,46 %,https://www.worldometers.info/img/flags/bt-flag.gif,27.514162,90.433601
83,Macao,"649,335","21,645",30,39,N.A.,,,
84,Luxembourg,"625,978",242,"2,590",40,88 %,https://www.worldometers.info/img/flags/lu-flag.gif,49.815273,6.129583
85,Suriname,"586,632",4,"156,000",29,65 %,https://www.worldometers.info/img/flags/ns-flag.gif,3.919305,-56.027783
86,Micronesia,"548,914",784,700,27,68 %,https://www.worldometers.info/img/flags/fm-flag.gif,7.425554,150.550812
87,Malta,"441,543","1,380",320,43,93 %,https://www.worldometers.info/img/flags/mt-flag.gif,35.937496,14.375416
88,Guadeloupe,"400,124",237,"1,690",44,N.A.,,16.995971,-62.067641
89,Bahamas,"393,244",39,"10,010",32,86 %,https://www.worldometers.info/img/flags/bf-flag.gif,25.03428,-77.39628
90,Iceland,"341,243",3,"100,250",37,94 %,https://www.worldometers.info/img/flags/ic-flag.gif,64.963051,-19.020835
91,French Guiana,"298,682",4,"82,200",25,87 %,,3.933889,-53.125782
92,New Caledonia,"285,498",16,"18,280",34,72 %,,-20.904305,165.618042
